Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,11.0,139.0,148.0,76.0
48.0,44.0,108.0,12.0,166.0,168.0,79.0
67.0,86.0,47.0,15.0,136.0,146.0,82.0
78.0,95.0,27.0,12.0,139.0,148.0,78.0
8.0,41.0,151.0,44.0,180.0,212.0,118.0
72.0,44.0,84.0,19.0,180.0,162.0,72.0
3.0,44.0,153.0,50.0,179.0,220.0,128.0
56.0,41.0,104.0,26.0,188.0,181.0,76.0
55.0,46.0,98.0,26.0,189.0,181.0,79.0
195.0,4.0,1.0,65.0,246.0,160.0,123.0
