Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,8.0,142.0,148.0,72.0
48.0,44.0,108.0,11.0,160.0,164.0,77.0
67.0,86.0,47.0,15.0,136.0,142.0,80.0
78.0,95.0,27.0,11.0,137.0,146.0,74.0
8.0,41.0,151.0,44.0,179.0,211.0,114.0
72.0,44.0,84.0,20.0,178.0,158.0,70.0
3.0,44.0,153.0,50.0,178.0,217.0,124.0
56.0,41.0,104.0,27.0,188.0,178.0,74.0
55.0,46.0,98.0,28.0,189.0,178.0,72.0
195.0,4.0,1.0,65.0,246.0,155.0,116.0
35.0,94.0,70.0,22.0,126.0,188.0,86.0
