Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,29.0,126.0,135.0,76.0
48.0,44.0,108.0,14.0,173.0,171.0,75.0
67.0,86.0,47.0,26.0,132.0,138.0,75.0
78.0,95.0,27.0,36.0,120.0,126.0,86.0
8.0,41.0,151.0,28.0,171.0,207.0,102.0
72.0,44.0,84.0,19.0,172.0,154.0,68.0
