Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,19.0,114.0,123.0,70.0
48.0,44.0,108.0,20.0,157.0,155.0,70.0
67.0,86.0,47.0,14.0,120.0,127.0,66.0
78.0,95.0,27.0,21.0,117.0,124.0,79.0
8.0,41.0,151.0,36.0,156.0,193.0,85.0
72.0,44.0,84.0,18.0,156.0,134.0,61.0
3.0,44.0,153.0,39.0,157.0,199.0,85.0
56.0,41.0,104.0,24.0,168.0,156.0,60.0
55.0,46.0,98.0,22.0,164.0,156.0,64.0
