Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,30.0,130.0,142.0,78.0
48.0,44.0,108.0,11.0,176.0,179.0,79.0
67.0,86.0,47.0,28.0,136.0,142.0,80.0
78.0,95.0,27.0,39.0,124.0,128.0,92.0
8.0,41.0,151.0,29.0,176.0,210.0,116.0
