Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,30.0,130.0,140.0,78.0
48.0,44.0,108.0,13.0,176.0,176.0,78.0
67.0,86.0,47.0,27.0,136.0,142.0,78.0
78.0,95.0,27.0,39.0,122.0,128.0,90.0
8.0,41.0,151.0,31.0,176.0,210.0,115.0
72.0,44.0,84.0,19.0,176.0,159.0,70.0
3.0,44.0,153.0,37.0,178.0,217.0,123.0
