Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,30.0,124.0,133.0,77.0
48.0,44.0,108.0,14.0,173.0,171.0,76.0
67.0,86.0,47.0,26.0,130.0,137.0,75.0
78.0,95.0,27.0,37.0,117.0,124.0,86.0
8.0,41.0,151.0,29.0,172.0,207.0,102.0
72.0,44.0,84.0,19.0,172.0,152.0,65.0
3.0,44.0,153.0,35.0,172.0,216.0,112.0
56.0,41.0,104.0,19.0,182.0,177.0,72.0
